iter	Passed	Remaining
0	153	153184
1	158	79333
2	163	54353
3	169	42099
4	174	34635
5	178	29649
6	184	26116
7	189	23482
8	194	21377
9	198	19621
10	200	18047
11	203	16769
12	206	15671
13	209	14769
14	212	13981
15	215	13257
16	218	12620
17	220	12055
18	223	11547
19	226	11083
20	228	10656
21	230	10261
22	233	9898
23	235	9561
24	237	9256
25	239	8988
26	242	8725
27	244	8476
28	246	8242
29	249	8055
30	251	7861
31	255	7737
32	257	7552
33	259	7369
34	261	7199
35	262	7027
36	263	6864
37	265	6717
38	268	6604
39	270	6484
40	271	6354
41	272	6224
42	274	6100
43	275	5980
44	276	5864
45	277	5751
46	278	5643
47	279	5540
48	280	5441
49	282	5367
50	284	5286
51	285	5197
52	286	5114
53	287	5034
54	288	4955
55	289	4879
56	290	4804
57	291	4733
58	292	4663
59	293	4595
60	294	4529
61	295	4474
62	298	4432
63	299	4373
64	300	4315
65	301	4260
66	302	4205
67	303	4153
68	304	4102
69	304	4051
70	305	4002
71	306	3956
72	308	3911
73	308	3866
74	310	3824
75	312	3796
76	313	3754
77	314	3714
78	315	3675
79	316	3636
80	317	3598
81	318	3561
82	318	3520
83	319	3485
84	320	3450
85	321	3416
86	322	3383
87	323	3350
88	324	3319
89	327	3306
90	328	3278
91	329	3249
92	330	3220
93	331	3192
94	332	3164
95	333	3137
96	334	3110
97	335	3083
98	336	3058
99	337	3033
100	338	3008
101	339	2984
102	340	2967
103	342	2952
104	343	2930
105	344	2907
106	345	2885
107	346	2863
108	347	2842
109	348	2821
110	349	2800
111	350	2780
112	351	2759
113	352	2738
114	353	2719
115	354	2703
116	356	2691
117	357	2675
118	358	2657
119	360	2640
120	361	2624
121	362	2606
122	363	2589
123	364	2574
124	365	2558
125	366	2542
126	367	2525
127	368	2508
128	369	2495
129	371	2486
130	372	2470
131	373	2454
132	374	2439
133	375	2424
134	376	2409
135	376	2394
136	377	2379
137	378	2365
138	379	2351
139	380	2337
140	381	2323
141	382	2308
142	382	2294
143	384	2283
144	386	2276
145	387	2263
146	387	2251
147	388	2238
148	389	2226
149	390	2213
150	391	2201
151	392	2189
152	393	2177
153	394	2165
154	395	2154
155	396	2143
156	396	2131
157	397	2120
158	399	2111
159	400	2104
160	401	2091
161	402	2080
162	403	2070
163	404	2059
164	404	2049
165	405	2039
166	406	2028
167	407	2019
168	408	2009
169	409	1999
170	410	1989
171	411	1979
172	412	1970
173	413	1962
174	414	1956
175	416	1948
176	417	1939
177	417	1929
178	418	1920
179	419	1912
180	420	1903
181	421	1894
182	422	1885
183	423	1876
184	423	1867
185	424	1859
186	425	1850
187	426	1842
188	427	1834
189	428	1828
190	430	1823
191	431	1815
192	432	1807
193	433	1799
194	433	1791
195	434	1783
196	435	1776
197	436	1768
198	437	1760
199	438	1753
200	439	1745
201	440	1738
202	440	1730
203	441	1723
204	442	1717
205	444	1711
206	445	1706
207	446	1700
208	447	1693
209	448	1686
210	449	1679
211	450	1672
212	450	1666
213	451	1659
214	452	1652
215	453	1646
216	454	1640
217	455	1633
